/catalog?f[institutional_collection_title_facet][]=World+War+II+Poster+Collection+at+Northwestern+University+Library&page=40,128,94,0:00:10,1,0.00%,2.34%,$0.00 
/multiresimages/inu:dil-47901c10-0bf0-4300-8607-0607d7f7f761,123,112,0:00:58,4,75.00%,18.70%,$0.00 
/multiresimages/inu:dil-a331b62b-4c4e-4c94-b15f-d99f60e9c44f,119,106,0:01:38,5,40.00%,29.41%,$0.00 
/catalog?f[institutional_collection_title_facet][]=World+War+II+Poster+Collection+at+Northwestern+University+Library&page=20,116,79,0:00:09,2,0.00%,4.31%,$0.00 
/multiresimages/inu:dil-3b4b5056-99cc-4c54-bad9-1efae6865826,111,101,0:01:59,10,40.00%,32.43%,$0.00 
/multiresimages/inu:dil-b69d425c-30fc-4a83-b67b-570304c03ae5,106,90,0:01:34,11,81.82%,34.91%,$0.00 
/catalog?f[institutional_collection_title_facet][]=World+War+II+Poster+Collection+at+Northwestern+University+Library&page=41,99,72,0:00:22,1,0.00%,5.05%,$0.00 
/multiresimages/inu:dil-917cde32-b6e7-42f6-852c-4fac975ace22,95,84,0:01:26,13,84.62%,25.26%,$0.00 
/catalog?f[institutional_collection_title_facet][]=World+War+II+Poster+Collection+at+Northwestern+University+Library&page=21,94,67,0:00:08,0,0.00%,2.13%,$0.00 
/multiresimages/inu:dil-942ad4f4-50db-40c1-a3e4-7d0484a04277,94,81,0:01:30,1,0.00%,12.77%,$0.00 
/multiresimages/inu:dil-06c13960-3a2b-4bf3-b4dc-b6c2abec6266,93,88,0:00:41,5,100.00%,20.43%,$0.00 
/catalog?f[institutional_collection_title_facet][]=World+War+II+Poster+Collection+at+Northwestern+University+Library&page=1&per_page=100,90,37,0:00:45,2,50.00%,5.56%,$0.00 
/multiresimages/inu:dil-5c31dad1-a90f-46ef-841e-3cfe4906e3ed,90,76,0:01:58,6,66.67%,18.89%,$0.00 
